,Country,2016 score,rank
1,Iceland,0.874,1
2,Finland,0.845,2
3,Norway,0.842,3
4,Sweden,0.815,4
5,Rwanda,0.800,5
6,Ireland,0.797,6
7,Philippines,0.786,7
8,Slovenia,0.786,8
9,New Zealand,0.781,9
10,Nicaragua,0.780,10
11,Switzerland,0.776,11
12,Burundi,0.768,12
13,Germany,0.766,13
14,Namibia,0.765,14
15,South Africa,0.764,15
16,Netherlands,0.756,16
17,France,0.755,17
18,Latvia,0.755,18
19,Denmark,0.754,19
20,United Kingdom,0.752,20
21,Mozambique,0.750,21
22,Estonia,0.747,22
23,Bolivia,0.746,23
24,Belgium,0.745,24
25,Lithuania,0.744,25
26,Moldova,0.741,26
27,Cuba,0.740,27
28,Barbados,0.739,28
29,Spain,0.738,29
30,Belarus,0.737,30
31,Portugal,0.737,31
32,Costa Rica,0.736,32
33,Argentina,0.735,33
34,Luxembourg,0.734,34
35,Canada,0.731,35
36,Cape Verde,0.729,36
37,Bahamas,0.729,37
38,Poland,0.727,38
39,Colombia,0.727,39
40,Ecuador,0.726,40
41,Bulgaria,0.726,41
42,Jamaica,0.724,42
43,Lao PDR,0.724,43
44,Trinidad and Tobago,0.723,44
45,United States,0.722,45
46,Australia,0.721,46
47,Panama,0.721,47
48,Serbia,0.720,48
49,Israel,0.719,49
50,Italy,0.719,50
51,Kazakhstan,0.718,51
52,Austria,0.716,52
53,Tanzania,0.716,53
54,Botswana,0.715,54
55,Singapore,0.712,55
56,Zimbabwe,0.710,56
57,Lesotho,0.706,57
58,Mongolia,0.705,58
59,Ghana,0.705,59
60,Madagascar,0.704,60
61,Uganda,0.704,61
62,Albania,0.704,62
63,Kenya,0.702,63
64,El Salvador,0.702,64
65,Vietnam,0.700,65
66,Mexico,0.700,66
67,Malawi,0.700,67
68,Croatia,0.700,68
69,Ukraine,0.700,69
70,Chile,0.699,70
71,Thailand,0.699,71
72,Bangladesh,0.698,72
73,"Macedonia, FYR",0.696,73
74,Venezuela,0.694,74
75,Russian Federation,0.691,75
76,Romania,0.690,76
77,Czech Republic,0.690,77
78,Honduras,0.690,78
79,Brazil,0.687,79
80,Peru,0.687,80
81,Kyrgyz Republic,0.687,81
82,Senegal,0.685,82
83,Bosnia and Herzegovina,0.685,83
84,Cyprus,0.684,84
85,Cameroon,0.684,85
86,Azerbaijan,0.684,86
87,India,0.683,87
88,Indonesia,0.682,88
89,Montenegro,0.681,89
90,Georgia,0.681,90
91,Uruguay,0.681,91
92,Greece,0.680,92
93,Tajikistan,0.679,93
94,Slovak Republic,0.679,94
95,Suriname,0.679,95
96,Paraguay,0.676,96
97,Dominican Republic,0.676,97
98,Belize,0.676,98
99,China,0.676,99
100,Sri Lanka,0.673,100
101,Hungary,0.669,101
102,Armenia,0.669,102
103,Brunei Darussalam,0.669,103
104,"Gambia, The",0.667,104
105,Guatemala,0.666,105
106,Malaysia,0.666,106
107,Swaziland,0.665,107
108,Malta,0.664,108
109,Ethiopia,0.662,109
110,Nepal,0.661,110
111,Japan,0.660,111
112,Cambodia,0.658,112
113,Mauritius,0.652,113
114,Liberia,0.652,114
115,Maldives,0.650,115
116,"Korea, Rep.",0.649,116
117,Angola,0.643,117
118,Nigeria,0.643,118
119,Qatar,0.643,119
120,Algeria,0.642,120
121,Bhutan,0.642,121
122,Guinea,0.640,122
123,Burkina Faso,0.640,123
124,United Arab Emirates,0.639,124
125,Timor-Leste,0.637,125
126,Tunisia,0.636,126
127,Benin,0.636,127
128,Kuwait,0.624,128
129,Mauritania,0.624,129
130,Turkey,0.623,130
131,Bahrain,0.615,131
132,Egypt,0.614,132
133,Oman,0.612,133
134,Jordan,0.603,134
135,Lebanon,0.598,135
136,Côte d'Ivoire,0.597,136
,Morocco,0.597,137
,Mali,0.591,138
,"Iran, Islamic Rep.",0.587,139
,Chad,0.587,140
,Saudi Arabia,0.583,141
,Syria,0.567,142
,Pakistan,0.556,143
,Yemen,0.516,144
